brandOwner,brandName,packageWeight,serving_size_in_g,protein_in_g,fat_in_g,carbohydrate_in_g,energy_in_kcal,fiber_in_g,calcium_in_mg,iron_in_mg,sugars_added_in_g,cholesterol_in_g,milk,corn_syrup,artificial_flavor,vanilla,water,cream,dark_chocolate,palm_oil,lemon,salt,almonds,soy,coconut,pecans,hazelnuts,white_chocolate,honey,total_ingredients
Candyco LLC ,MRS. CALL'S CANDY CO,46.0,23.0,4.35,21.7,60.9,435.0,0.0,130.0,0.43,43.5,22.0,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,20.0
Mars Chocolate North America LLC,MILKY WAY,1924.8,40.0,2.5,17.5,72.5,450.0,2.5,50.0,0.9,60.0,12.0,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,20.0
Killer Brownie Distributing,DLM,85.0,42.5,7.06,37.6,47.1,588.0,2.4,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
Mars Chocolate North America LLC,TWIX,1442.4,30.0,3.33,23.3,66.7,500.0,0.0,67.0,1.2,53.3,17.0,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,34.0
VANDEN BULCKE,VANDEN BULCKE,174.09684350978966,37.5,5.33,32.0,56.0,533.0,8.0,80.0,3.36,56.0,13.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,10.0
R.M. Palmer Co.,PALMER,340.0,36.0,2.78,25.0,63.9,472.0,0.0,56.0,3.0,52.8,14.0,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,20.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,33.3,56.7,533.0,0.8,133.0,0.0,43.3,17.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.0
Mars Chocolate North America LLC,3 MUSKETEERS,297.1,45.0,2.22,13.3,75.6,444.0,2.2,44.0,0.8,66.7,11.0,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,18.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,33.3,53.3,533.0,3.3,200.0,3.6,43.3,17.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,50.0,50.0,8.0,34.0,52.0,540.0,2.0,160.0,3.6,42.0,20.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,33.3,53.3,533.0,3.3,133.0,3.6,46.7,17.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,15.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,240.0,27.0,7.41,33.3,40.7,519.0,3.7,185.0,3.33,48.1,19.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,14.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,900.0,27.0,7.41,33.3,55.6,519.0,3.7,185.0,3.33,48.1,19.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,14.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,10.0,36.7,50.0,567.0,3.3,133.0,4.8,36.7,17.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,6.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,30.0,53.3,533.0,3.3,133.0,4.8,36.7,17.0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,15.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,47.0,47.0,6.38,31.9,55.3,532.0,2.1,170.0,3.06,48.9,21.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,14.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,900.0,27.0,7.41,33.3,51.8,556.0,3.7,219.0,37.4,40.7,19.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
Storck USA LP,MOSER ROTH,125.0,25.0,12.0,36.0,48.0,560.0,4.0,248.0,0.0,28.0,20.0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,11.0
"Wegmans Food Markets, Inc. ",WEGMANS,85.0,28.0,7.14,39.3,50.0,571.0,3.6,200.0,2.36,39.3,18.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
Champlain Chocolate Company,LAKE CHAMPLAIN CHOCOLATES,85.0,32.0,6.25,37.5,50.0,594.0,3.1,188.0,3.38,40.6,16.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,85.0,43.0,9.3,39.5,46.5,581.0,2.3,233.0,0.84,44.2,23.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,23.0,23.0,8.7,39.1,43.5,565.0,4.3,261.0,1.57,47.8,22.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,174.09684350978966,30.0,6.67,40.0,43.3,567.0,3.3,287.0,3.33,43.3,17.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,85.0,43.0,6.98,30.2,44.2,488.0,2.3,186.0,0.84,41.9,35.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,19.0
"Whole Foods Market, Inc.",365 EVERYDAY VALUE,85.0,43.0,6.98,41.9,46.5,581.0,2.3,233.0,0.84,44.2,12.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
Kraft Heinz Foods Company,BAKER'S,174.09684350978966,14.0,7.14,28.6,57.1,500.0,7.1,0.0,8.57,42.9,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,9.0
Kim's Chocolates N.V.,ORGANIC CACHET,100.0,25.0,8.0,40.0,52.0,600.0,4.0,200.0,5.2,36.0,20.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,7.0
Garrison Produce Inc.,MOKSHA,15.0,15.0,6.67,60.0,33.3,667.0,0.0,0.0,0.0,26.7,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.0
Power-Selles Imports,BLANXART,174.09684350978966,30.0,3.33,43.3,50.0,587.0,3.3,0.0,6.0,50.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,33.3,46.7,533.0,3.3,133.0,6.0,36.7,17.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,18.0
Lindt & Sprungli (Schweiz) AG,LINDT,115.0,31.0,6.45,35.5,51.6,548.0,0.0,174.0,3.23,38.7,16.0,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,11.0
Aldi Inc.,CHOCEUR,150.0,40.0,7.5,37.5,47.5,575.0,5.0,150.0,4.5,45.0,25.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,9.0
CHOCEUR,CHOCEUR,174.09684350978966,30.0,10.0,36.7,46.7,567.0,6.7,200.0,7.33,30.0,33.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,9.0
Hagensborg Chocolates Ltd.,HAGENSBORG CHOCOLATES,57.5,23.0,8.7,39.1,47.8,565.0,4.3,174.0,3.13,43.5,22.0,True,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,18.0
Hagensborg Chocolates Ltd.,HAGENSBORG CHOCOLATES,57.5,23.0,4.35,39.1,52.2,565.0,4.3,87.0,4.7,43.5,0.0,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,9.0
Engaging Ventures,RAAKA,174.09684350978966,25.0,8.0,32.0,48.0,500.0,12.0,40.0,2.16,36.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,30.0,6.67,33.3,50.0,533.0,10.0,0.0,13.3,46.7,17.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,30.0,6.67,33.3,46.7,533.0,10.0,0.0,12.7,43.3,17.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,10.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,33.3,50.0,533.0,6.7,0.0,9.0,40.0,0.0,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,7.0
Big State Naturals LLC,TONY'S CHOCOLONELY,180.0,30.0,3.33,30.0,53.3,533.0,6.7,0.0,9.0,43.3,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,36.7,50.0,533.0,6.7,0.0,9.0,40.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,6.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,47.0,47.0,6.38,34.0,48.9,532.0,8.5,43.0,9.57,40.4,0.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,6.0
TONY'S CHOCOLONELY,TONY'S CHOCOLONELY,174.09684350978966,28.0,7.14,35.7,50.0,536.0,7.1,0.0,9.64,39.3,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,6.0
Lunds Inc,LUNDS & BYERLYS,57.0,57.0,5.26,33.3,49.1,526.0,7.0,42.0,10.5,43.9,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,7.0
"Delhaize America, Inc.",TASTE OF INSPIRATIONS,85.0,43.0,4.65,32.6,51.2,512.0,7.0,47.0,8.37,39.5,0.0,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,27.0
"Winn-Dixie Stores, Inc.",SE GROCERS,85.0,43.0,4.65,32.6,48.8,535.0,7.0,47.0,12.6,44.2,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,7.0
Nestle USA Inc.,DAMAK,80.0,40.0,10.0,37.5,50.0,550.0,7.5,0.0,1.8,35.0,12.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
Lindt & Sprungli (Schweiz) AG,LINDT,115.0,31.0,9.68,41.9,45.2,548.0,6.5,181.0,3.23,29.0,16.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.0
"Whole Foods Market, Inc.",WHOLE FOODS MARKET,174.09684350978966,32.0,6.25,37.5,50.0,562.0,9.4,0.0,11.9,37.5,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,5.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,25.0,8.0,36.0,52.0,560.0,8.0,0.0,13.6,36.0,0.0,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,7.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,7.89,36.8,55.3,579.0,10.5,53.0,14.2,36.8,13.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,8.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,5.26,34.2,60.5,553.0,13.2,0.0,14.2,36.8,13.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,14.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,5.26,34.2,57.9,553.0,10.5,53.0,14.2,36.8,13.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,12.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,7.89,36.8,57.9,553.0,7.9,0.0,14.2,39.5,13.0,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,15.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,7.89,34.2,57.9,579.0,10.5,0.0,14.2,36.8,13.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,12.0
"Hy-Vee, Inc.",ZOET,100.0,25.0,8.0,36.0,56.0,560.0,8.0,0.0,14.4,40.0,0.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,7.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,5.26,34.2,57.9,579.0,7.9,0.0,14.2,39.5,13.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,5.26,34.2,60.5,553.0,7.9,0.0,14.2,42.1,13.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
"Whole Foods Market, Inc.",365 WHOLE FOODS MARKET,85.0,32.0,6.25,37.5,53.1,594.0,9.4,0.0,12.2,37.5,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,8.0
Kim's Chocolates N.V.,CACHET,100.0,25.0,8.0,36.0,52.0,560.0,8.0,0.0,13.6,36.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,9.0
"Schnuck Markets, Inc.",CULINARIA,100.0,25.0,8.0,36.0,56.0,560.0,12.0,0.0,14.4,40.0,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
"Whole Foods Market, Inc.",365 WHOLE FOODS MARKET,85.0,32.0,6.25,37.5,56.2,594.0,9.4,0.0,13.1,43.8,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
Ghirardelli Chocolate Company,GHIRARDELLI,149.1,32.0,6.25,37.5,53.1,500.0,9.4,62.0,3.12,37.5,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
Clasen Quality Coatings Inc,BAKE BELIEVE,113.5,14.0,7.14,35.7,57.1,429.0,3.0,71.0,2.14,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
Animal Flight Clothing LLC,CARMIT,35.0,35.0,8.57,31.4,42.9,514.0,14.3,57.0,10.3,40.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,9.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,85.0,43.0,4.65,37.2,44.2,558.0,11.6,0.0,1.67,39.5,0.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,7.0
Chocolate Chocolate Chocolate Company,BISSINGER'S,453.0,30.0,6.67,36.7,40.0,533.0,3.3,287.0,3.33,36.7,0.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,7.0
Rainbow Games Inc,MANOA CHOCOLATE,50.0,31.0,9.68,41.9,45.2,581.0,3.2,65.0,4.65,38.7,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
"Wegmans Food Markets, Inc. ",WEGMANS,85.0,28.0,7.14,35.7,53.6,536.0,10.7,43.0,7.14,42.9,18.0,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,12.0
Barkeater Chocolates,BARKEATER CHOCOLATES,71.0,71.0,5.63,32.4,56.3,479.0,7.0,28.0,7.61,40.8,7.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,8.0
Barkeater Chocolates,BARKEATER CHOCOLATES,71.0,71.0,4.23,35.2,56.3,493.0,7.0,28.0,7.61,43.7,7.0,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,11.0
"Supervalu, Inc.",CULINARY CIRCLE,85.0,28.0,7.14,42.9,39.3,571.0,7.1,71.0,9.64,32.1,0.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,6.0
Guittard Chocolate Co.,GUITTARD,75.0,40.0,5.0,40.0,52.5,500.0,7.5,50.0,9.0,35.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
Killer Brownie Distributing,DOROTHY LANE MARKET,45.0,45.0,11.1,44.4,42.2,622.0,4.4,44.0,3.2,31.1,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
"Tops Markets, LLC",TOPS,85.0,43.0,4.65,41.9,51.2,512.0,11.6,47.0,6.28,34.9,0.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,7.0
Garrison Produce Inc.,MOKSHA,90.0,9.0,11.1,38.9,55.6,500.0,11.1,0.0,0.0,33.3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
Garrison Produce Inc.,MOKSHA,15.0,15.0,6.67,33.3,53.3,467.0,13.3,0.0,2.4,40.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
Garrison Produce Inc.,MOKSHA,90.0,9.0,11.1,38.9,55.6,500.0,11.1,0.0,0.0,33.3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
Garrison Produce Inc.,MOKSHA,15.0,15.0,6.67,33.3,53.3,467.0,13.3,0.0,2.4,40.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
Mindo Chocolate Makers LLC,MINDO CHOCOLATE MAKERS,50.0,25.0,12.0,32.0,48.0,448.0,12.0,80.0,11.5,32.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
Mars Chocolate North America LLC,SNICKERS,352.2,58.70000076293945,6.81,23.8,59.6,477.0,1.7,68.0,0.61,51.1,9.0,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,20.0
"7-Eleven, Inc.",7 SELECT,50.0,50.0,6.0,32.0,50.0,520.0,8.0,40.0,0.0,44.0,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,8.0
"7-Eleven, Inc.",7 SELECT,99.0,40.0,2.5,25.0,65.0,500.0,2.5,0.0,1.8,55.0,25.0,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,22.0
"7-Eleven, Inc.",7 SELECT,50.0,50.0,6.0,26.0,56.0,520.0,2.0,160.0,0.0,56.0,20.0,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,True,41.0
Kingston Marketing Co,CULINARY TOURS,174.09684350978966,25.0,8.0,40.0,48.0,560.0,16.0,0.0,20.0,28.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4.0
The Kroger Co.,SIMPLE TRUTH,100.0,40.0,7.5,40.0,37.5,550.0,10.0,50.0,13.5,30.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
"Hebert Confections, LLC",ROYAL FARMS,61.0,61.0,8.2,37.7,50.8,475.0,11.5,66.0,4.43,31.2,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
"Hornady Security Products, Inc",PASCHA,80.0,27.0,11.1,44.4,44.4,630.0,11.1,74.0,4.07,22.2,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
The Kroger Co.,SIMPLE TRUTH,100.0,40.0,7.5,40.0,40.0,550.0,10.0,50.0,15.8,30.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
"Safeway, Inc.",SIGNATURE SELECT,100.0,30.0,6.67,40.0,43.3,600.0,13.3,67.0,9.67,26.7,0.0,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,10.0
Mars Chocolate North America LLC,DOVE,205.0,32.0,9.38,40.6,46.9,562.0,12.5,0.0,5.62,25.0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,7.89,39.5,52.6,579.0,13.2,0.0,19.0,26.3,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,40.0,10.0,40.0,45.0,550.0,15.0,50.0,20.2,27.5,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,38.0,7.89,39.5,52.6,579.0,13.2,0.0,19.0,26.3,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
Rainbow Games Inc,MANOA CHOCOLATE,50.0,31.0,9.68,38.7,48.4,581.0,9.7,65.0,4.65,32.3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
"Schnuck Markets, Inc.",CULINARIA,100.0,25.0,8.0,40.0,52.0,600.0,16.0,0.0,20.4,28.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
"Schnuck Markets, Inc.",CULINARIA,100.0,25.0,8.0,40.0,52.0,560.0,16.0,0.0,20.0,28.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
"Technical Knockout, Inc.",GREEN & BLACK'S,120.0,40.0,5.0,52.5,40.0,575.0,7.5,0.0,13.5,27.5,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
"Divine Chocolate, Inc.",DIVINE,100.0,42.0,7.14,42.9,50.0,571.0,9.5,48.0,4.29,31.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,18.0
Lindt & Sprungli (Schweiz) AG,LINDT,100.0,30.0,6.67,46.7,43.3,633.0,6.7,53.0,3.33,30.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
Animal Flight Clothing LLC,CARMIT,100.0,30.0,6.67,40.0,43.3,567.0,10.0,67.0,13.3,30.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,7.0
Animal Flight Clothing LLC,TASTE OF FREEDOM,100.0,30.0,6.67,40.0,43.3,533.0,10.0,67.0,13.3,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,7.0
Animal Flight Clothing LLC,CARMIT,100.0,30.0,6.67,40.0,43.3,533.0,10.0,67.0,13.3,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,8.0
Animal Flight Clothing LLC,CARMIT,100.0,30.0,6.67,40.0,43.3,567.0,10.0,67.0,13.3,30.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,8.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,180.0,30.0,6.67,43.3,40.0,567.0,13.3,0.0,15.0,26.7,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,50.0,50.0,8.0,42.0,42.0,560.0,14.0,40.0,14.4,28.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4.0
"Divine Chocolate, Inc.",DIVINE,45.0,45.0,6.67,46.7,44.4,600.0,11.1,44.0,4.0,26.7,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0
Memphis Retail Resource,K'UL CHOCOLATE,36.0,36.0,8.33,41.7,50.0,528.0,11.1,111.0,12.5,30.6,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.0
Memphis Retail Resource,K'UL CHOCOLATE,35.0,35.0,8.57,42.9,51.4,543.0,11.4,114.0,12.9,31.4,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
Emerald City Promotions,Emerald City Promotions,71.0,28.0,7.14,39.3,35.7,532.0,7.1,0.0,0.0,28.6,0.0,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,25.0
"Vosges, Ltd.",WILD OPHELIA,39.0,40.0,5.0,32.5,50.0,475.0,7.5,75.0,8.0,32.5,12.0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,20.0
"Yc Chocolatier, LLC",COCO POLO,80.0,40.0,10.0,47.5,35.0,475.0,20.0,100.0,6.75,2.5,0.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,10.0
"Xocolla, LLC.",XOCOLLA,56.0,28.0,10.7,28.6,60.7,429.0,17.9,71.0,6.43,32.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
The Pride of Zanesville Inc.,TONY'S CHOCOLONELY,900.0,27.0,7.41,40.7,40.7,556.0,14.8,67.0,15.2,25.9,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4.0
Rafael Padilla & Cia S. En C.,TWO BROTHERS,85.0,28.0,7.14,42.9,35.7,571.0,10.7,57.0,10.7,25.0,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,7.0
L'Amourette,L AMOURETTE,100.0,40.0,7.5,45.0,50.0,625.0,5.0,25.0,3.6,25.0,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,6.0
"Godiva Chocolatier, Inc.",GODIVA,174.09684350978966,34.0,11.8,44.1,29.4,588.0,11.8,59.0,18.5,26.5,0.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,9.0
